appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
2718983_249513,2718983,249513,1244,3709,2017-03-19,Diego Rico,ES1,0,0,0,0,90
2486678_39532,2486678,39532,984,289,2015-01-10,Victor Anichebe,GB1,0,0,0,1,17
3886639_115333,3886639,115333,12321,12321,2023-04-22,Juanpe,ES1,0,0,0,0,90
3886601_378139,3886601,378139,150,150,2023-04-02,Aitor Ruibal,ES1,0,0,0,0,90
2486741_67063,2486741,67063,11,1237,2015-03-04,Danny Welbeck,GB1,0,0,0,0,1
3611517_380598,3611517,380598,367,1050,2022-05-20,Santi Comesaña,ES1,0,0,0,0,29
3886298_31909,3886298,31909,418,418,2022-09-11,Toni Kroos,ES1,0,0,0,1,90
2594629_85258,2594629,85258,621,621,2015-12-20,Mikel Balenziaga,ES1,0,0,0,0,90
3079498_126737,3079498,126737,681,3709,2018-12-15,Juanmi,ES1,0,0,0,0,78
2719016_137174,2719016,137174,897,897,2017-04-08,Alejandro Arribas,ES1,1,0,0,0,90
3050283_105470,3050283,105470,31,31,2018-11-11,Alisson,GB1,0,0,0,0,90
2718909_126737,2718909,126737,681,3709,2017-02-05,Juanmi,ES1,0,0,1,0,13
3080764_207924,3080764,207924,940,940,2019-01-19,Jozabed Sánchez,ES1,1,0,0,0,90
3451197_298575,3451197,298575,331,331,2021-03-06,Kike Barja,ES1,0,0,0,0,62
3208678_177467,3208678,177467,1050,1050,2019-09-21,Gerard Moreno,ES1,0,0,0,0,90
3605331_142021,3605331,142021,714,237,2021-10-23,Sergi Darder,ES1,0,0,0,0,67
3081098_284857,3081098,284857,1533,631,2019-04-28,Marc Cucurella,ES1,0,0,0,0,90
3838712_425334,3838712,425334,405,405,2023-03-18,Matty Cash,GB1,0,0,0,0,90
3429787_67420,3429787,67420,399,399,2021-04-03,Luke Ayling,GB1,0,0,0,0,90
3838274_391005,3838274,391005,1148,180,2023-01-02,Mads Roerslev,GB1,0,0,0,0,90
3050236_206040,3050236,206040,543,931,2018-09-29,Raúl Jiménez,GB1,0,0,0,1,90
4113061_251896,4113061,251896,16795,418,2023-10-08,Jesús Vallejo,ES1,1,0,0,0,6
3592276_392765,3592276,392765,11,931,2022-05-01,Emile Smith Rowe,GB1,0,0,0,0,3
3209805_255653,3209805,255653,940,940,2020-02-09,Santi Mina,ES1,0,0,0,0,2
3605050_349836,3605050,349836,1531,1531,2021-08-22,Diego González,ES1,0,0,0,0,4
3838640_184573,3838640,184573,985,405,2023-04-30,Victor Lindelöf,GB1,0,0,0,0,90
3219124_192080,3219124,192080,1132,762,2020-07-11,Nick Pope,GB1,1,0,0,0,90
3886646_331496,3886646,331496,12321,237,2023-04-25,Valery Fernández,ES1,0,0,0,0,18
3080894_225122,3080894,225122,1049,681,2019-04-21,Gonçalo Guedes,ES1,0,0,2,0,77
2594629_59349,2594629,59349,3368,3302,2015-12-20,Diego Mariño,ES1,0,0,0,0,90
3610291_353032,3610291,353032,1049,289,2022-01-22,Omar Alderete,ES1,0,0,0,0,54
2594584_351478,2594584,351478,681,681,2015-11-21,Mikel Oyarzabal,ES1,0,0,0,0,27
2594708_65243,2594708,65243,714,714,2016-02-13,Abraham González,ES1,1,0,0,0,90
2698175_45330,2698175,45330,984,984,2016-11-06,Claudio Yacob,GB1,0,0,0,0,90
3607621_42920,3607621,42920,714,714,2022-01-10,Fran Mérida,ES1,1,0,0,0,5
4095239_467623,4095239,467623,1132,1132,2023-12-16,Lyle Foster,GB1,0,0,0,0,45
3451156_251897,3451156,251897,621,1108,2021-02-21,Asier Villalibre,ES1,0,0,0,0,7
2899675_158795,2899675,158795,12321,3709,2017-11-25,David Timor,ES1,0,0,0,0,55
2698432_85475,2698432,85475,2288,762,2017-02-25,Federico Fernández,GB1,0,0,0,0,90
2899787_223068,2899787,223068,472,472,2018-02-09,Tana,ES1,0,0,0,0,57
3451464_255508,3451464,255508,621,621,2021-05-16,Iñaki Williams,ES1,0,0,0,0,65
3838752_730893,3838752,730893,873,873,2023-02-18,Tyrick Mitchell,GB1,0,0,0,0,82
2719065_204097,2719065,204097,16795,16795,2017-05-06,Juanan Entrena,ES1,0,0,0,0,9
3421741_171679,3421741,171679,148,543,2020-11-01,Matt Doherty,GB1,0,0,0,0,90
3219146_249356,3219146,249356,989,989,2020-07-19,Jack Stacey,GB1,0,0,0,0,90
2475436_39381,2475436,39381,418,418,2015-03-07,Gareth Bale,ES1,0,0,0,0,90
2475437_37399,2475437,37399,1533,1533,2015-03-06,Manu del Moral,ES1,1,0,0,0,90
2578008_36814,2578008,36814,984,984,2015-10-24,Chris Brunt,GB1,1,0,0,0,90
4095148_485585,4095148,485585,631,405,2023-10-07,Ian Maatsen,GB1,0,0,0,0,4
3050294_63494,3050294,63494,1010,1050,2018-11-24,Étienne Capoue,GB1,0,0,0,0,90
3079408_64598,3079408,64598,12321,12321,2018-09-30,Bernardo Espinosa,ES1,1,0,0,0,90
3592195_333241,3592195,333241,762,762,2022-05-22,Joelinton,GB1,0,0,0,0,11
4112845_536030,4112845,536030,3302,3302,2023-12-17,Arnau Puigmal,ES1,0,0,0,0,5
3605063_252667,3605063,252667,2687,2687,2021-08-29,Fali,ES1,1,0,0,0,90
3886324_193784,3886324,193784,1531,1531,2022-10-15,Carlos Clerc,ES1,0,0,0,1,90
2577964_3881,2577964,3881,512,512,2015-09-19,Glen Johnson,GB1,0,0,0,0,90
2475395_57876,2475395,57876,897,897,2015-02-06,Laure,ES1,0,0,0,0,9
2899600_27487,2899600,27487,3709,3709,2017-09-24,Francisco Molinero,ES1,0,0,0,0,7
2899834_64598,2899834,64598,12321,12321,2018-03-09,Bernardo Espinosa,ES1,0,0,0,0,90
2594819_255501,2594819,255501,621,621,2016-04-24,Iñigo Lekue,ES1,0,0,0,0,35
3429838_341051,3429838,341051,180,379,2021-05-08,Kyle Walker-Peters,GB1,0,0,0,0,90
3885859_295622,3885859,295622,714,714,2022-09-04,Keidi Bare,ES1,0,0,0,0,16
2475445_101742,2475445,101742,3302,3368,2015-03-15,Ángel Trujillo,ES1,0,0,0,0,90
3451039_192009,3451039,192009,621,367,2020-12-12,Unai López,ES1,1,0,0,0,45
3050529_241641,3050529,241641,281,281,2019-04-20,Bernardo Silva,GB1,0,0,0,0,90
3886600_298976,3886600,298976,3709,3709,2023-04-01,Borja Mayoral,ES1,0,0,0,0,90
3210111_18944,3210111,18944,131,131,2020-07-05,Gerard Piqué,ES1,0,0,0,0,82
3219125_477758,3219125,477758,985,379,2020-07-04,Aaron Wan-Bissaka,GB1,0,0,0,0,90
3610407_108390,3610407,108390,418,418,2022-03-05,Thibaut Courtois,ES1,0,0,0,0,90
2872138_121398,2872138,121398,1110,1110,2017-08-26,Tommy Smith,GB1,0,0,0,0,90
2872132_202984,2872132,202984,2288,366,2017-08-19,Roque Mesa,GB1,0,0,0,0,67
2486721_12814,2486721,12814,873,873,2015-02-21,Julián Speroni,GB1,0,0,0,0,90
3219368_31835,3219368,31835,379,379,2019-11-09,Mark Noble,GB1,0,0,0,0,20
2698247_13507,2698247,13507,29,29,2017-02-01,Leighton Baines,GB1,0,0,0,0,90
2578240_3838,2578240,3838,984,984,2015-12-28,Boaz Myhill,GB1,0,0,0,0,90
2899762_37501,2899762,37501,681,681,2018-02-02,Imanol Agirretxe,ES1,0,0,0,0,5
3592090_346483,3592090,346483,631,985,2021-12-19,Mason Mount,GB1,0,0,0,0,90
3050484_128901,3050484,128901,543,1003,2019-04-24,Conor Coady,GB1,0,0,0,0,90
3605222_15956,3605222,15956,368,368,2021-09-22,Jesús Navas,ES1,0,0,0,0,34
