player_id,transfer_date,transfer_season,from_club_id,to_club_id,from_club_name,to_club_name,transfer_fee,market_value_in_eur,player_name
1064471,2025-01-01,21/22,40419,15509,Celta Vigo Yth.,Celta U19,,400000.0,Fer López
81999,2024-06-30,23/24,418,714,Real Madrid,Espanyol,0.0,5000000.0,Joselu
126719,2024-06-30,23/24,294,583,Benfica,PSG,0.0,4000000.0,Juan Bernat
126737,2024-06-30,23/24,2687,150,Cádiz CF,Real Betis,0.0,6000000.0,Juanmi
148368,2024-06-30,23/24,703,5,Nottm Forest,AC Milan,0.0,5000000.0,Divock Origi
168157,2024-06-30,23/24,6195,405,Napoli,Aston Villa,0.0,7000000.0,Leander Dendoncker
182712,2024-06-30,23/24,131,281,Barcelona,Man City,0.0,25000000.0,João Cancelo
182904,2024-06-30,23/24,405,131,Aston Villa,Barcelona,0.0,10000000.0,Clément Lenglet
192279,2024-06-30,23/24,418,631,Real Madrid,Chelsea,0.0,12000000.0,Kepa Arrizabalaga
198008,2024-06-30,23/24,681,23826,Real Sociedad,Leipzig,0.0,6000000.0,André Silva
206225,2024-06-30,23/24,1039,762,QPR,Newcastle,0.0,1800000.0,Isaac Hayden
216870,2024-06-30,23/24,237,331,RCD Mallorca,CA Osasuna,0.0,2000000.0,Nacho Vidal
217115,2024-06-30,23/24,1148,29,Brentford,Everton,0.0,12000000.0,Neal Maupay
225122,2024-06-30,23/24,1050,543,Villarreal,Wolves,0.0,15000000.0,Gonçalo Guedes
237125,2024-06-30,23/24,603,16795,Cardiff,Granada CF,0.0,500000.0,Famara Diédhiou
238266,2024-06-30,23/24,1041,180,Lyon,Southampton,0.0,7000000.0,Duje Caleta-Car
246291,2024-06-30,23/24,12,399,Roma,Leeds,0.0,7000000.0,Diego Llorente
249513,2024-06-30,23/24,3709,681,Getafe,Real Sociedad,0.0,1500000.0,Diego Rico
251106,2024-06-30,23/24,989,3709,Bournemouth,Getafe,0.0,18000000.0,Enes Ünal
251896,2024-06-30,23/24,16795,418,Granada CF,Real Madrid,0.0,1000000.0,Jesús Vallejo
258475,2024-06-30,23/24,3368,1108,Levante,Alavés,0.0,1200000.0,Nikola Maras
262749,2024-06-30,23/24,11,1148,Arsenal,Brentford,0.0,35000000.0,David Raya
262939,2024-06-30,23/24,331,1050,CA Osasuna,Villarreal,0.0,2200000.0,Johan Mojica
275218,2024-06-30,23/24,16795,209,Granada CF,River Plate,0.0,5000000.0,Augusto Batalla
278359,2024-06-30,23/24,15,150,Leverkusen,Real Betis,0.0,5000000.0,Borja Iglesias
278404,2024-06-30,23/24,21322,2687,Sanluqueño,Cádiz CF,0.0,200000.0,Martín Calderón
284884,2024-06-30,23/24,3709,368,Getafe,Sevilla FC,0.0,2500000.0,Óscar Rodríguez
286779,2024-06-30,23/24,2687,3631,Cádiz CF,América,0.0,1000000.0,Jorge Meré
287579,2024-06-30,23/24,985,430,Man Utd,Fiorentina,0.0,22000000.0,Sofyan Amrabat
288255,2024-06-30,23/24,24,985,Frankfurt,Man Utd,0.0,5000000.0,Donny van de Beek
293281,2024-06-30,23/24,1132,533,Burnley,Hoffenheim,0.0,8000000.0,Jacob Bruun Larsen
298583,2024-06-30,23/24,995,1049,FC Nantes,Valencia,0.0,4000000.0,Eray Cömert
303657,2024-06-30,23/24,989,46,Bournemouth,Inter,0.0,3000000.0,Ionuț Radu
336869,2024-06-30,23/24,150,399,Real Betis,Leeds,0.0,9000000.0,Marc Roca
338285,2024-06-30,23/24,940,621,Celta de Vigo,Athletic Club,0.0,7000000.0,Unai Núñez
339820,2024-06-30,23/24,366,237,Real Valladolid,RCD Mallorca,0.0,1500000.0,Amath Ndiaye
343273,2024-06-30,23/24,1536,367,Burgos CF,Rayo Vallecano,0.0,1200000.0,Joni Montiel
344605,2024-06-30,23/24,368,1003,Sevilla FC,Leicester,0.0,14000000.0,Boubakary Soumaré
351749,2024-06-30,23/24,379,281,West Ham,Man City,0.0,25000000.0,Kalvin Phillips
355861,2024-06-30,23/24,29,1050,Everton,Villarreal,0.0,13000000.0,Arnaut Danjuma
357072,2024-06-30,23/24,16795,2282,Granada CF,Club Brugge,0.0,4000000.0,Faitout Maouassa
371371,2024-06-30,23/24,6574,12,Sassuolo,Roma,0.0,4500000.0,Marash Kumbulla
377219,2024-06-30,23/24,1049,366,Valencia,Real Valladolid,0.0,1500000.0,Selim Amallah
381963,2024-06-30,23/24,1132,1184,Burnley,Genk,0.0,12000000.0,Mike Tresor
388125,2024-06-30,23/24,366,130,Real Valladolid,Parma,0.0,2200000.0,Stanko Juric
393323,2024-06-30,23/24,89,399,Union Berlin,Leeds,0.0,12000000.0,Brenden Aaronson
396894,2024-06-30,23/24,2687,449,Cádiz CF,Trabzonspor,0.0,2000000.0,Maxi Gómez
401173,2024-06-30,23/24,16,985,Dortmund,Man Utd,0.0,30000000.0,Jadon Sancho
415970,2024-06-30,23/24,114,703,Besiktas,Nott'm Forest,0.0,7500000.0,Joe Worrall
419648,2024-06-30,23/24,197,415,Sparta Prague,Toulouse,0.0,9000000.0,Veljko Birmancevic
434223,2024-06-30,23/24,371,1123,Celtic,Norwich,0.0,3500000.0,Adam Idah
434990,2024-06-30,23/24,1108,681,Alavés,Real Sociedad,0.0,4000000.0,Álex Sola
441170,2024-06-30,23/24,417,114,Nice,Besiktas,0.0,4000000.0,Valentin Rosier
442805,2024-06-30,23/24,3302,237,UD Almería,RCD Mallorca,0.0,2200000.0,Iddrisu Baba
448628,2024-06-30,23/24,681,13,Real Sociedad,Atlético,0.0,7000000.0,Javi Galán
461833,2024-06-30,23/24,8970,800,Frosinone,Atalanta BC,0.0,8000000.0,Caleb Okoli
466794,2024-06-30,23/24,12321,131,Girona,Barcelona,0.0,20000000.0,Eric García
471474,2024-06-30,23/24,5358,331,SD Huesca,CA Osasuna,0.0,1200000.0,Javi Martínez
480883,2024-06-30,23/24,1244,1108,CD Leganés,Alavés,0.0,2500000.0,Miguel de la Fuente
483348,2024-06-30,23/24,252,148,Genoa,Tottenham,0.0,8000000.0,Djed Spence
485585,2024-06-30,23/24,16,631,Dortmund,Chelsea,0.0,40000000.0,Ian Maatsen
491616,2024-06-30,23/24,10484,1095,Kasimpasa,Troyes,0.0,3300000.0,Jackson Porozo
494237,2024-06-30,23/24,964,932,Zenit S-Pb,Loko Moscow,0.0,4000000.0,Wilson Isidor
498237,2024-06-30,23/24,683,720,Olympiacos,Porto,0.0,12000000.0,David Carmo
500067,2024-06-30,23/24,1096,2410,Royal Antwerp,CSKA Moscow,0.0,6000000.0,Chidera Ejuke
501743,2024-06-30,23/24,468,5026,Sparta R.,Lommel SK,0.0,4000000.0,Koki Saito
505673,2024-06-30,23/24,142,13,Real Zaragoza,Atlético,0.0,3000000.0,Víctor Mollejo
512354,2024-06-30,23/24,54189,873,RWDM,Crystal Palace,0.0,1500000.0,Malcolm Ebiowei
527350,2024-06-30,23/24,142,12321,Real Zaragoza,Girona,0.0,1500000.0,Manu Vallejo
528888,2024-06-30,23/24,443,931,Vejle BK,Fulham,0.0,600000.0,Tyrese Francois
536030,2024-06-30,23/24,1531,3302,Elche CF,UD Almería,0.0,1800000.0,Arnau Puigmal
541231,2024-06-30,23/24,39,31,Mainz,Liverpool,0.0,12000000.0,Sepp van den Berg
541621,2024-06-30,23/24,2464,10718,Barça Atlètic,FC Andorra,0.0,300000.0,Marc Vidal
545647,2024-06-30,23/24,1531,940,Elche CF,Celta de Vigo,0.0,1200000.0,Sergio Carreira
547039,2024-06-30,23/24,601,603,KV Kortrijk,Cardiff,0.0,1500000.0,Isaak Davies
548188,2024-06-30,23/24,142,13,Real Zaragoza,Atlético,0.0,2000000.0,Germán Valera
549027,2024-06-30,23/24,2424,10330,Gil Vicente,Benfica B,0.0,3000000.0,Martim Neto
555074,2024-06-30,23/24,28893,12124,P. Niepolomice,Aston Villa U21,0.0,800000.0,Oliwier Zych
559263,2024-06-30,23/24,3008,31,Hull City,Liverpool,0.0,14000000.0,Fábio Carvalho
559330,2024-06-30,23/24,404,9249,FC Den Bosch,Arsenal U21,0.0,400000.0,Salah Oulad
562742,2024-06-30,23/24,2497,237,Real Oviedo,RCD Mallorca,0.0,1800000.0,Leo Román
563137,2024-06-30,23/24,2687,681,Cádiz CF,Real Sociedad,0.0,6000000.0,Robert Navarro
564529,2024-06-30,23/24,1025,1003,Bologna,Leicester,0.0,15000000.0,Victor Kristiansen
567504,2024-06-30,23/24,2865,101419,Betis Deportivo,CF Estrela U23,0.0,150000.0,Guilherme Fernandes
569384,2024-06-30,23/24,368,46,Sevilla FC,Inter,0.0,6000000.0,Lucien Agoumé
569866,2024-06-30,23/24,648,681,CD Tenerife,Real Sociedad,0.0,2500000.0,Roberto López
571743,2024-06-30,23/24,931,631,Fulham,Chelsea,0.0,22000000.0,Armando Broja
572265,2024-06-30,23/24,410,4172,Udinese,Pisa,0.0,12000000.0,Lorenzo Lucca
585700,2024-06-30,23/24,1244,150,CD Leganés,Real Betis,0.0,1500000.0,Juan Cruz
587520,2024-06-30,23/24,366,51828,Real Valladolid,LAFC,0.0,4000000.0,Stipe Biuk
593412,2024-06-30,23/24,13222,12321,CD Mirandés,Girona,0.0,1600000.0,Ilyas Chaira
603940,2024-06-30,23/24,472,6767,UD Las Palmas,RM Castilla,0.0,2000000.0,Marvin Park
607224,2024-06-30,23/24,368,985,Sevilla FC,Man Utd,0.0,9000000.0,Hannibal
607780,2024-06-30,23/24,11972,367,Villarreal CF B,Rayo Vallecano,0.0,600000.0,Miguel Ángel Morro
610083,2024-06-30,23/24,1533,621,SD Eibar,Athletic Club,0.0,2200000.0,Unai Vencedor
610238,2024-06-30,23/24,6912,8519,Vizela,Sevilla Atl.,0.0,400000.0,Pedro Ortiz
617059,2024-06-30,23/24,16575,3368,SD Amorebieta,Levante,0.0,800000.0,Pablo Campos
617074,2024-06-30,23/24,3709,23826,Getafe,Leipzig,0.0,3000000.0,Ilaix Moriba
618813,2024-06-30,23/24,13222,13,CD Mirandés,Atlético,0.0,3500000.0,Carlos Martín
620164,2024-06-30,23/24,2448,1050,Sporting Gijón,Villarreal,0.0,2000000.0,Haissem Hassan
623521,2024-06-30,23/24,3709,418,Getafe,Real Madrid,0.0,2800000.0,Juanmi Latasa
624942,2024-06-30,23/24,366,398,Real Valladolid,Lazio,0.0,2500000.0,Raúl Moro
632913,2024-06-30,23/24,13240,8494,Sestao River ,RCD Mallorca B ,0.0,50000.0,Pere García
636697,2024-06-30,23/24,7077,3302,FC Cartagena,UD Almería,0.0,400000.0,Arnau Solà
640109,2024-06-30,23/24,3911,46,Stade Brestois,Inter,0.0,7000000.0,Martín Satriano
656316,2024-06-30,23/24,1245,631,KAS Eupen,Chelsea,0.0,4000000.0,Gabriel Slonina
658269,2024-06-30,23/24,366,16795,Real Valladolid,Granada CF,0.0,2200000.0,Víctor Meseguer
660735,2024-06-30,23/24,58,368,RSC Anderlecht,Sevilla FC,0.0,3500000.0,Federico Gattoni
662261,2024-06-30,23/24,1108,418,Alavés,Real Madrid,0.0,7500000.0,Rafa Marín
667121,2024-06-30,23/24,1465,1075,Estoril,Braga,0.0,12000000.0,Rodrigo Gomes
668177,2024-06-30,23/24,122,13,Sturm Graz,Atlético,0.0,450000.0,Javi Serrano
668183,2024-06-30,23/24,1176,621,Racing Ferrol,Athletic Club,0.0,1400000.0,Nico Serrano
668276,2024-06-30,23/24,11972,23826,Villarreal CF B,Leipzig,0.0,2500000.0,Hugo Novoa
670717,2024-06-30,23/24,3325,336,Chaves,Sporting,0.0,3500000.0,Dário Essugo
670858,2024-06-30,23/24,762,631,Newcastle,Chelsea,0.0,18000000.0,Lewis Hall
684210,2024-06-30,23/24,399,989,Leeds,Bournemouth,0.0,6000000.0,Jaidon Anthony
689637,2024-06-30,23/24,150,131,Real Betis,Barcelona,0.0,15000000.0,Chadi Riad
696506,2024-06-30,23/24,10331,3302,FC Porto B,UD Almería,0.0,900000.0,Gui Guedes
707230,2024-06-30,23/24,1164,1082,Le Mans FC,Lille,0.0,400000.0,Ugo Raghouber
707274,2024-06-30,23/24,366,1049,Real Valladolid,Valencia,0.0,1500000.0,César Tárrega
709726,2024-06-30,23/24,24,583,Frankfurt,PSG,0.0,20000000.0,Hugo Ekitiké
710004,2024-06-30,23/24,1049,6767,Valencia,RM Castilla,0.0,3000000.0,Peter Federico
710484,2024-06-30,23/24,3679,7078,Atl. Madrileño,Valladolid Prom,0.0,200000.0,Mario Maroto
710679,2024-06-30,23/24,10718,331,FC Andorra,CA Osasuna,0.0,800000.0,Iker Benito
